agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2022-11-21 17:30,EST,3.43,P,1.24,P
USGS,02085070,2022-11-21 17:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 17:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 17:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 17:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 17:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 18:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-21 18:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 19:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 20:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 21:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 22:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-21 23:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 00:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 01:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:15,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:40,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:45,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:50,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 02:55,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:00,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:05,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:10,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 03:20,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:25,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:30,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:35,EST,3.65,P,1.26,P
USGS,02085070,2022-11-22 03:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 03:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 03:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 03:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 04:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 05:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 06:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 07:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 08:55,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:00,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:05,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:10,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:15,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:20,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:25,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:30,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:35,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:40,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:45,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:50,EST,3.54,P,1.25,P
USGS,02085070,2022-11-22 09:55,EST,3.54,P,1.25,P
